feature_num_trains,feature_num_intervals,feature_num_points,feature_num_stations,feature_num_crossings,feature_num_depots,feature_num_routes,feature_max_time,feature_alpha,feature_avg_num_trips,feature_avg_service_time_min,feature_avg_service_time_max,feature_avg_arcs_in_cost_matrix,feature_avg_demands_per_day,Instances,algo_Model,algo_Enum,algo_Heuristic
3,4,18,16,4,2,2,47572.0,47.0,4.0,101.33333333333333,536.0,125.0,6.666666666666667,t3p18r2h4,40.8,44.23,21.92
3,5,19,16,8,2,2,53426.0,67.0,4.0,127.73684210526316,490.0,129.72222222222223,7.894736842105263,t3p19r2h5,62.36,69.73,36.14
4,1,15,12,8,2,2,56844.0,78.0,6.0,76.73333333333333,382.0,174.42857142857142,16.133333333333333,t4p15r2h1,21602.32,3615.64,3612.88
4,2,16,13,8,2,2,46897.0,68.0,4.0,97.625,398.0,208.8,10.5,t4p16r2h2,21601.45,3607.26,3606.5
4,3,17,15,6,4,11,59439.0,63.0,2.0,93.3529411764706,493.0,488.25,4.9411764705882355,t4p17r11h3,35.58,16.24,10.05
4,4,18,17,3,2,2,55333.0,74.0,4.0,115.33333333333333,389.0,220.0,10.666666666666666,t4p18r2h4,2846.08,94.7,80.0
4,1,19,18,8,4,15,5988.0,71.0,2.0,71.05263157894737,346.0,66.83333333333333,3.5789473684210527,t4p19r15h1,27.2,45.79,29.55
5,2,15,15,5,2,2,43553.0,54.0,2.0,95.06666666666666,523.0,428.92857142857144,5.6,t5p15r2h2,21600.87,3603.64,3603.91
5,2,16,13,10,4,15,41757.0,55.0,2.0,118.0625,497.0,376.73333333333335,4.5,t5p16r15h2,21601.01,3758.01,3604.82
5,1,17,14,8,3,6,50935.0,50.0,2.0,99.41176470588235,331.0,423.6875,4.588235294117647,t5p17r6h1,21600.92,3622.81,3604.47
5,1,18,15,9,3,6,36523.0,40.0,2.0,121.33333333333333,482.0,296.52941176470586,4.666666666666667,t5p18r6h1,16416.16,3623.59,3604.62
5,1,19,17,6,4,16,29121.0,50.0,2.0,137.94736842105263,431.0,232.44444444444446,5.052631578947368,t5p19r16h1,1182.52,1536.1,379.36
6,1,15,15,6,3,7,30495.0,48.0,2.0,125.6,505.0,300.57142857142856,8.4,t6p15r7h1,21601.59,6684.1,4407.42
6,1,16,15,4,3,6,49750.0,77.0,2.0,119.125,563.0,456.26666666666665,7.875,t6p16r6h1,21601.06,13490.6,11690.41
6,1,17,15,9,4,10,30537.0,70.0,2.0,109.11764705882354,439.0,265.3125,7.411764705882353,t6p17r10h1,21601.18,3702.08,3605.49
6,3,18,16,7,4,15,58440.0,40.0,2.0,108.44444444444444,483.0,459.05882352941177,7.5,t6p18r15h3,17020.34,1890.18,869.35
6,1,19,18,6,2,2,51917.0,75.0,2.0,133.94736842105263,448.0,386.5,8.052631578947368,t6p19r2h1,21601.15,7731.83,7927.32
3,2,20,18,6,4,16,37114.0,67.0,3.0,149.2,417.0,129.73684210526315,5.1,t3p20r16h2,26.28,54.9,5.72
3,5,21,17,9,4,13,51555.0,86.0,3.0,80.52380952380952,490.0,171.9,3.8095238095238093,t3p21r13h5,833.66,54.13,10.0
3,1,22,18,9,3,6,35586.0,78.0,3.0,88.54545454545455,464.0,114.61904761904762,5.409090909090909,t3p22r6h1,133.41,139.97,136.3
3,4,23,21,9,4,12,57550.0,66.0,3.0,94.08695652173913,509.0,175.45454545454547,3.4782608695652173,t3p23r12h4,86.25,923.88,13.86
3,5,24,23,6,3,7,63204.0,58.0,3.0,85.54166666666667,359.0,178.91304347826087,4.583333333333333,t3p24r7h5,140.02,91.47,20.51
4,1,20,19,6,3,8,23341.0,50.0,2.0,120.7,544.0,176.8421052631579,5.4,t4p20r8h1,57.32,35.84,19.51
4,2,21,19,6,3,8,25963.0,70.0,2.0,126.47619047619048,418.0,183.3,5.142857142857143,t4p21r8h2,499.84,101.32,104.44
4,1,22,19,5,2,2,62362.0,71.0,4.0,95.0,595.0,198.0,11.454545454545455,t4p22r2h1,21601.64,3608.51,3607.92
4,2,23,21,7,4,10,52398.0,63.0,2.0,119.65217391304348,324.0,315.95454545454544,5.217391304347826,t4p23r10h2,2405.52,197.95,190.86
4,1,24,23,6,2,2,36572.0,52.0,2.0,106.29166666666667,428.0,214.65217391304347,5.5,t4p24r2h1,586.57,211.23,215.86
5,1,20,17,6,2,2,48588.0,60.0,3.0,115.8,530.0,169.42105263157896,11.2,t5p20r2h1,21601.48,3604.26,3605.65
5,2,21,18,9,2,2,47706.0,43.0,2.0,106.61904761904762,461.0,316.75,4.857142857142857,t5p21r2h2,10188.9,3194.34,3605.11
5,2,22,22,5,4,13,30610.0,87.0,2.0,114.63636363636364,457.0,202.52380952380952,5.7272727272727275,t5p22r13h2,21601.1,4732.2,4113.14
5,1,23,23,2,2,2,43119.0,82.0,2.0,119.04347826086956,501.0,268.04545454545456,5.739130434782608,t5p23r2h1,3285.17,356.48,360.84
5,2,24,20,7,2,2,55071.0,55.0,2.0,91.91666666666667,462.0,326.7826086956522,4.75,t5p24r2h2,21601.07,3605.08,3605.6
6,2,20,20,5,2,2,48855.0,43.0,2.0,83.8,451.0,346.6842105263158,7.6,t6p20r2h2,21601.26,4601.85,4911.95
6,1,21,21,4,2,2,10147.0,79.0,2.0,83.52380952380952,329.0,85.6,5.714285714285714,t6p21r2h1,817.67,313.04,321.39
6,1,22,20,8,2,2,53404.0,51.0,2.0,113.18181818181819,327.0,335.95238095238096,7.7727272727272725,t6p22r2h1,21602.28,6083.25,7626.2
6,2,23,19,10,2,2,38324.0,72.0,2.0,98.95652173913044,352.0,237.04545454545453,6.260869565217392,t6p23r2h2,21601.33,3606.93,3607.61
6,1,24,21,7,4,16,48009.0,43.0,2.0,90.58333333333333,502.0,282.7391304347826,7.5,t6p24r16h1,21601.51,22171.9,7460.37
3,1,16,13,8,3,10,51540.0,180.0,5.333333333333333,67.5,600.0,194.66666666666666,6.875,t3p16r10h1,3507.21,21609.22,26.72
3,1,16,13,8,3,6,51540.0,180.0,5.333333333333333,67.5,600.0,194.66666666666666,6.875,t3p16r6h1,147.39,625.86,24.91
3,4,16,13,8,3,6,51540.0,180.0,5.333333333333333,67.5,600.0,194.66666666666666,6.875,t3p16r6h4,2842.09,701.86,20.88
3,6,16,13,8,3,6,51540.0,180.0,5.333333333333333,67.5,600.0,194.66666666666666,6.875,t3p16r6h6,1913.3,714.26,23.03
3,1,16,13,8,3,8,51540.0,180.0,5.333333333333333,67.5,600.0,194.66666666666666,6.875,t3p16r8h1,6107.91,21600.98,277.16
4,1,16,13,8,3,10,51540.0,180.0,4.0,67.5,600.0,194.66666666666666,6.875,t4p16r10h1,8082.89,21600.02,75.8
4,1,16,13,8,3,6,51540.0,180.0,5.25,67.5,600.0,194.66666666666666,6.875,t4p16r6h1,3258.28,21601.42,247.16
4,4,16,13,8,3,6,51540.0,180.0,5.25,67.5,600.0,194.66666666666666,6.875,t4p16r6h4,21602.28,21600.75,110.71
4,6,16,13,8,3,6,51540.0,180.0,5.25,67.5,600.0,194.66666666666666,6.875,t4p16r6h6,21602.25,21601.54,158.66
4,1,16,13,8,3,8,51540.0,180.0,5.25,67.5,600.0,194.66666666666666,6.875,t4p16r8h1,21602.19,30000.00,21709.58
5,1,16,13,8,3,10,51540.0,180.0,4.4,67.5,600.0,194.66666666666666,6.875,t5p16r10h1,21602.58,30000.00,6643.47
5,1,16,13,8,3,6,51540.0,180.0,4.4,67.5,600.0,194.66666666666666,6.875,t5p16r6h1,20408.42,30000.00,293.96
5,4,16,13,8,3,6,51540.0,180.0,4.4,67.5,600.0,194.66666666666666,6.875,t5p16r6h4,21602.41,14548.33,635.52
4,6,16,13,8,3,6,51540.0,180.0,4.4,67.5,600.0,194.66666666666666,6.875,t5p16r6h6,21602.14,14548.33,469.0
5,1,16,13,8,3,8,51540.0,180.0,4.4,67.5,600.0,194.66666666666666,6.875,t5p16r8h1,21605.37,30000.00,23673.38
